x1,x2,x3
0.59,-0.66,-2.06
0.88,-2.67,-1.36
1.49,0.7,3.62
0.29,0.42,-0.14
0.59,0.85,-0.04
-1.98,0.39,-0.85
-0.05,-3.08,-4.43
-0.9,-0.16,0.33
-0.73,-0.42,0.11
0.42,-0.45,-0.81
0.86,-1.87,-0.76
0.57,-0.24,0.23
0.58,-1.2,-1.24
-0.27,0.21,-0.61
-0.31,-0.29,0.13
-0.02,0.6,1.43
0.73,0.3,0.5
1.73,0.22,1.79
0.3,-0.66,-1.04
-0.32,-1.2,-1.74
-1.46,-0.54,-1.41
-2.0,1.75,0.18
0.87,-0.65,-1.59
-0.22,-0.5,-2.12
-0.02,0.25,0.27
-0.2,-1.8,-2.22
1.47,-0.06,-0.58
-0.86,-1.27,-1.53
-1.16,0.25,0.73
0.64,-0.97,0.41
0.96,1.65,1.74
1.33,0.19,3.71
-1.05,-0.18,-2.0
-0.4,0.99,0.59
-0.43,0.17,-0.22
0.12,1.88,0.97
0.58,0.34,0.47
1.06,1.27,1.08
1.72,0.53,0.96
0.96,0.87,3.22
-1.14,1.15,1.31
0.39,-1.31,0.58
-0.83,0.4,1.47
1.05,-0.18,0.19
-0.12,-0.46,-0.87
1.85,0.13,0.84
1.78,-1.63,-0.59
0.52,-0.23,1.62
-1.57,-1.56,-5.03
-0.25,-1.22,-0.19
0.64,-1.04,-1.1
-2.5,-1.83,-4.02
-0.59,-0.2,-1.29
-0.32,-1.25,-0.14
0.96,-1.43,-0.89
0.87,-0.55,0.28
-0.08,-1.55,-1.26
-0.15,-1.93,-3.06
-1.92,-0.02,-1.99
-0.45,0.2,1.73
-0.09,0.42,-1.51
-1.54,1.02,-1.66
1.9,0.71,1.86
-1.02,-0.14,-2.58
0.57,-0.92,0.38
1.84,-1.99,-1.19
0.23,-2.69,-2.02
2.33,-1.55,0.46
-0.1,0.67,1.04
0.8,0.1,0.26
-0.37,0.33,1.05
-2.53,-2.58,-5.13
0.29,-0.33,-1.17
-0.89,0.43,-1.36
0.63,0.52,0.62
-1.48,0.53,-1.6
1.2,-0.13,0.95
-0.33,0.02,-1.06
-0.21,-1.05,-1.81
0.02,0.28,1.24
1.07,-0.05,1.55
1.86,0.86,2.18
0.52,0.5,0.67
0.38,1.64,2.54
0.99,-0.94,-1.82
0.5,-0.53,2.09
1.45,0.25,3.36
-0.43,-0.83,-0.9
-0.86,0.38,-1.52
-1.04,0.41,-0.69
0.3,0.41,-0.64
-1.37,0.06,-0.41
0.54,-0.36,0.59
-0.13,-1.95,-1.27
-0.02,-0.75,-2.43
0.03,-2.2,-1.49
-0.52,-0.03,0.69
0.34,-1.05,2.03
-0.0,-0.4,-0.22
-1.03,0.81,0.21
0.49,-0.56,0.24
0.95,-1.33,-0.26
-0.28,0.03,1.91
-0.16,0.26,2.49
-0.07,0.31,-0.48
